DealId,Deal_No,Presentation_Receipt_Id,Presentation_Date,Presenation_Amount,Repay_Mode,Clearing_Status,Bouncing_Reason,Cancellation_reason
100920298,032232,180269,2016-04-04 00:00:00,4840.0000,PDC,Cancelled,,BEING DEPOSITED IN WRONG BANK HENCE REVERSED.
100919740,032221,180342,2016-04-05 00:00:00,1578.0000,PDC,Cleared,,
100920495,032235,180343,2016-04-05 00:00:00,2689.0000,PDC,Cleared,,
100920554,032236,180344,2016-04-05 00:00:00,2165.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100920602,032237,180345,2016-04-05 00:00:00,2070.0000,PDC,Cleared,,
100920652,032238,180346,2016-04-05 00:00:00,2824.0000,PDC,Cleared,,
100920848,032242,180347,2016-04-05 00:00:00,2689.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100955054,032247,180348,2016-04-05 00:00:00,2689.0000,PDC,Cleared,,
100990111,032250,180349,2016-04-05 00:00:00,3213.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100990147,032251,180350,2016-04-05 00:00:00,2345.0000,PDC,Cleared,,
100990194,032252,180351,2016-04-05 00:00:00,2017.0000,PDC,Bounced,CONTACT DRAWER/DRAWEE PRESENT AGAIN,
100990230,032253,180352,2016-04-05 00:00:00,3420.0000,PDC,Cleared,,
100990265,032254,180353,2016-04-05 00:00:00,2027.0000,PDC,Cleared,,
100990307,032255,180354,2016-04-05 00:00:00,2689.0000,PDC,Cleared,,
100990506,032256,180355,2016-04-05 00:00:00,2689.0000,PDC,Cleared,,
100990786,032261,180356,2016-04-05 00:00:00,4560.0000,PDC,Cleared,,
100991043,032266,180357,2016-04-05 00:00:00,2080.0000,PDC,Cleared,,
100991127,032267,180358,2016-04-05 00:00:00,4959.0000,PDC,Bounced,NEITHER CLEAR NOR BOUNCED,
100991196,032269,180359,2016-04-05 00:00:00,4034.0000,PDC,Cleared,,
100920298,032232,180592,2016-04-07 00:00:00,4840.0000,PDC,Cleared,,
100920753,032240,180593,2016-04-07 00:00:00,3025.0000,PDC,Cleared,,
100990939,032264,180594,2016-04-07 00:00:00,2367.0000,PDC,Cleared,,
100990996,032265,180595,2016-04-07 00:00:00,2409.0000,PDC,Cleared,,
100991157,032268,180596,2016-04-07 00:00:00,3127.0000,PDC,Cleared,,
100991252,032270,180597,2016-04-07 00:00:00,3060.0000,PDC,Cleared,,
100991325,032271,180598,2016-04-07 00:00:00,1999.0000,PDC,Cleared,,
100991365,032272,180599,2016-04-07 00:00:00,5067.0000,PDC,Cleared,,
100991477,032274,180600,2016-04-07 00:00:00,2295.0000,PDC,Cleared,,
100991540,032275,180601,2016-04-07 00:00:00,2134.0000,PDC,Cleared,,
100991612,032276,180602,2016-04-07 00:00:00,2400.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100991656,032277,180603,2016-04-07 00:00:00,2560.0000,PDC,Cleared,,
100991720,032278,180604,2016-04-07 00:00:00,2347.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100991765,032279,180605,2016-04-07 00:00:00,4275.0000,PDC,Cleared,,
100991828,032280,180606,2016-04-07 00:00:00,1867.0000,PDC,Cleared,,
100991884,032281,180607,2016-04-07 00:00:00,1657.0000,PDC,Bounced,AMOUNT IN WORDS AND FIGURES DIFFERS,
100992818,032297,180608,2016-04-07 00:00:00,1894.0000,PDC,Bounced,SIGNATURE MISMATCH,
100993041,032302,180609,2016-04-07 00:00:00,2294.0000,PDC,Cancelled,,NEITHER CLEAR NOR BOUNCED
100993378,032309,180610,2016-04-07 00:00:00,2400.0000,PDC,Cleared,,
100993420,032310,180611,2016-04-07 00:00:00,5334.0000,PDC,Cancelled,,NEITHER CLEAR NOR BOUNCED
100993476,032311,180612,2016-04-07 00:00:00,4283.0000,PDC,Cancelled,,NEITHER CLEAR NOR BOUNCE
100993510,032312,180613,2016-04-07 00:00:00,1931.0000,PDC,Cancelled,,NEITHER CLEAR NOR BOUNCED
100993649,032316,180614,2016-04-07 00:00:00,3610.0000,PDC,Cancelled,,CANCELLED
100992428,032290,180615,2016-04-07 00:00:00,2400.0000,PDC,Cleared,,
100913515,032099,181182,2016-04-08 00:00:00,2488.0000,PDC,Cleared,,
100915688,032144,181183,2016-04-08 00:00:00,2747.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100919626,032218,181201,2016-04-08 00:00:00,2639.0000,PDC,Cleared,,
100920884,032243,181203,2016-04-08 00:00:00,2264.0000,PDC,Cleared,,
100912117,032066,181708,2016-04-08 00:00:00,2187.0000,ECS,Bounced,INSUFFICIENT BALANCE,
100920298,032232,182085,2016-04-12 00:00:00,4840.0000,PDC,Cleared,,
100907530,031974,183193,2016-04-13 00:00:00,5130.0000,PDC,Bounced,EXCEEDS ARRANGEMENT,
100913028,032088,183210,2016-04-13 00:00:00,2507.0000,PDC,Cleared,,
100914348,032116,183212,2016-04-13 00:00:00,3515.0000,PDC,Cleared,,
100918357,032201,183230,2016-04-13 00:00:00,2134.0000,PDC,Cleared,,
100919155,032214,183233,2016-04-13 00:00:00,2017.0000,PDC,Cleared,,
100919152,032213,183240,2016-04-13 00:00:00,3025.0000,PDC,Cleared,,
100919891,032224,183243,2016-04-13 00:00:00,3227.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100920801,032241,183247,2016-04-13 00:00:00,2025.0000,PDC,Cleared,,
100990690,032260,183248,2016-04-13 00:00:00,3156.0000,PDC,Cleared,,
100991409,032273,183249,2016-04-13 00:00:00,2321.0000,PDC,Bounced,DRAWERS SIGN DIFFERS,
100912846,032083,183893,2016-04-13 00:00:00,2560.0000,NACH,Cleared,,
100915970,032150,184379,2016-04-13 00:00:00,2488.0000,ECS,Bounced,NO SUCH ACCOUNT,
100897748,031772,187419,2016-04-18 00:00:00,2488.0000,PDC,Cleared,,
100907606,031976,187525,2016-04-18 00:00:00,3734.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100913427,032096,187567,2016-04-18 00:00:00,1980.0000,PDC,Cleared,,
100913699,032103,187573,2016-04-18 00:00:00,3414.0000,PDC,Cleared,,
100915270,032135,187583,2016-04-18 00:00:00,2240.0000,PDC,Cleared,,
100918772,032210,187593,2016-04-18 00:00:00,3515.0000,PDC,Cleared,,
100919416,032215,187605,2016-04-18 00:00:00,3025.0000,PDC,Cleared,,
100919660,032219,187607,2016-04-18 00:00:00,2322.0000,PDC,Cleared,,
100919704,032220,187609,2016-04-18 00:00:00,2488.0000,PDC,Cleared,,
100920711,032239,187621,2016-04-18 00:00:00,2827.0000,PDC,Cleared,,
100920934,032244,187623,2016-04-18 00:00:00,2152.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100990556,032257,187629,2016-04-18 00:00:00,4275.0000,PDC,Cleared,,
100990648,032259,187631,2016-04-18 00:00:00,4000.0000,PDC,Cleared,,
100990816,032262,187633,2016-04-18 00:00:00,2134.0000,PDC,Cleared,,
100903070,031879,189361,2016-04-18 00:00:00,2347.0000,NACH,Cleared,,
100910134,032029,189377,2016-04-18 00:00:00,2613.0000,NACH,Cleared,,
100918046,032194,189449,2016-04-18 00:00:00,4370.0000,NACH,Cleared,,
100907832,031980,189461,2016-04-18 00:00:00,1733.0000,NACH,Cleared,,
100917549,032182,189471,2016-04-18 00:00:00,3800.0000,NACH,Cleared,,
100919990,032226,189475,2016-04-18 00:00:00,2554.0000,NACH,Cleared,,
100919794,032222,189479,2016-04-18 00:00:00,3160.0000,NACH,Bounced,FUNDS INSUFFICIENT,
100899546,031807,189834,2016-04-18 00:00:00,2160.0000,ECS,Cleared,,
100907245,031968,189848,2016-04-18 00:00:00,4101.0000,ECS,Cleared,,
100911989,032064,189856,2016-04-18 00:00:00,2485.0000,ECS,Cleared,,
100917390,032179,189873,2016-04-18 00:00:00,3420.0000,ECS,Cleared,,
100902690,031871,192236,2016-04-23 00:00:00,1654.0000,PDC,Cleared,,
100905456,031930,192245,2016-04-23 00:00:00,2294.0000,PDC,Cleared,,
100909317,032010,192267,2016-04-23 00:00:00,2992.0000,PDC,Cleared,,
100913249,032092,192289,2016-04-23 00:00:00,3895.0000,PDC,Cleared,,
100914429,032118,192294,2016-04-23 00:00:00,3093.0000,PDC,Cleared,,
100914522,032121,192295,2016-04-23 00:00:00,2507.0000,PDC,Cleared,,
100914581,032122,192296,2016-04-23 00:00:00,2070.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100915080,032131,192303,2016-04-23 00:00:00,2400.0000,PDC,Cancelled,,NEITHER CLEAR NOR BOUNCED
100916008,032151,192307,2016-04-23 00:00:00,2240.0000,PDC,Cleared,,
100916808,032166,192313,2016-04-23 00:00:00,2294.0000,PDC,Cleared,,
100918574,032207,192324,2016-04-23 00:00:00,1867.0000,PDC,Cleared,,
100920158,032229,192331,2016-04-23 00:00:00,4275.0000,PDC,Cleared,,
100990006,032248,192336,2016-04-23 00:00:00,2560.0000,PDC,Cleared,,
100906402,031950,192364,2016-04-23 00:00:00,2134.0000,PDC,Cancelled,,NEITHER CLEAR NOR BOUNCED
100912451,032075,193271,2016-04-23 00:00:00,1988.0000,NACH,Cleared,,
100915417,032138,193318,2016-04-23 00:00:00,2240.0000,NACH,Cleared,,
100919535,032217,193326,2016-04-23 00:00:00,2134.0000,NACH,Cleared,,
100916682,032163,193327,2016-04-23 00:00:00,2880.0000,NACH,Bounced,FUNDS INSUFFICIENT,
100915740,032145,193328,2016-04-23 00:00:00,2134.0000,NACH,Cleared,,
100900517,031831,193329,2016-04-23 00:00:00,1665.0000,NACH,Bounced,INSUFFICIENT FUNDS,
100919939,032225,193334,2016-04-23 00:00:00,2160.0000,NACH,Cleared,,
100913202,032091,193337,2016-04-23 00:00:00,2160.0000,NACH,Cleared,,
100904308,031906,193611,2016-04-23 00:00:00,4379.0000,ECS,Bounced,INSUFFICIENT BALANCE,
100908264,031992,193615,2016-04-23 00:00:00,2187.0000,ECS,Cleared,,
100916258,032155,193631,2016-04-23 00:00:00,1933.0000,ECS,Cleared,,
100915080,032131,194082,2016-04-27 00:00:00,2400.0000,PDC,Cleared,,
100915080,032131,196244,2016-05-04 00:00:00,2400.0000,PDC,Cleared,,
100919740,032221,196418,2016-05-05 00:00:00,1578.0000,PDC,Cleared,,
100920495,032235,196419,2016-05-05 00:00:00,2689.0000,PDC,Cleared,,
100920652,032238,196420,2016-05-05 00:00:00,2824.0000,PDC,Cleared,,
100920848,032242,196421,2016-05-05 00:00:00,2689.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100955054,032247,196422,2016-05-05 00:00:00,2689.0000,PDC,Cleared,,
100990111,032250,196423,2016-05-05 00:00:00,3213.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100990147,032251,196424,2016-05-05 00:00:00,2345.0000,PDC,Cleared,,
100990194,032252,196425,2016-05-05 00:00:00,2017.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100990230,032253,196426,2016-05-05 00:00:00,3420.0000,PDC,Cleared,,
100990265,032254,196427,2016-05-05 00:00:00,2027.0000,PDC,Cleared,,
100990307,032255,196428,2016-05-05 00:00:00,2689.0000,PDC,Cleared,,
100990506,032256,196429,2016-05-05 00:00:00,2689.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100990786,032261,196430,2016-05-05 00:00:00,4560.0000,PDC,Cleared,,
100991043,032266,196431,2016-05-05 00:00:00,2080.0000,PDC,Cleared,,
100991127,032267,196432,2016-05-05 00:00:00,4959.0000,PDC,Cleared,,
100991196,032269,196433,2016-05-05 00:00:00,4034.0000,PDC,Cleared,,
100993096,032303,196434,2016-05-05 00:00:00,3227.0000,PDC,Cleared,,
100993166,032304,196435,2016-05-05 00:00:00,1814.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100993207,032305,196436,2016-05-05 00:00:00,2367.0000,PDC,Cleared,,
100993263,032306,196437,2016-05-05 00:00:00,2590.0000,PDC,Cleared,,
100993291,032307,196438,2016-05-05 00:00:00,2989.0000,PDC,Cleared,,
100993332,032308,196439,2016-05-05 00:00:00,3227.0000,PDC,Cleared,,
100994068,032324,196440,2016-05-05 00:00:00,2565.0000,PDC,Cleared,,
100994104,032325,196441,2016-05-05 00:00:00,3895.0000,PDC,Cleared,,
100994142,032326,196442,2016-05-05 00:00:00,3409.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100994181,032327,196443,2016-05-05 00:00:00,3227.0000,PDC,Bounced,FUNDS INSUFFICIENT,
100994295,032329,196444,2016-05-05 00:00:00,3698.0000,PDC,Cleared,,
100994331,032330,196445,2016-05-05 00:00:00,2689.0000,PDC,Bounced,FUNDS INSUFFICIENT,
